,time,mean,std
140,04:40:00,1426.875,31.9662210108
141,04:42:00,1423.375,30.444035306
142,04:44:00,1423.375,30.444035306
143,04:46:00,1424.0,32.8720463095
144,04:48:00,1420.5,31.0253352693
145,04:50:00,1424.0,29.674423812
146,04:52:00,1420.5,31.0253352693
147,04:54:00,1420.5,31.0253352693
148,04:56:00,1420.5,31.0253352693
149,04:58:00,1423.375,30.444035306
150,05:00:00,1426.75,27.8401046796
151,05:02:00,1422.75,28.8035216101
152,05:04:00,1421.125,29.6283527337
153,05:06:00,1420.375,30.2510330402
154,05:08:00,1416.375,29.71261156
155,05:10:00,1412.28571429,31.7107462632
156,05:12:00,1418.375,30.844946333
157,05:14:00,1415.125,31.9170241184
158,05:16:00,1421.375,31.5002834454
159,05:18:00,1420.375,26.8058495748
160,05:20:00,1420.375,26.9175327887
161,05:22:00,1414.25,32.5389876039
162,05:24:00,1417.0,34.5791018639
163,05:26:00,1419.0,32.941506601
164,05:28:00,1416.375,33.105621016
165,05:30:00,1415.375,33.3806509395
166,05:32:00,1418.125,32.8043442245
167,05:34:00,1415.0,32.0847093088
168,05:36:00,1417.625,22.5194360498
169,05:38:00,1414.0,27.2885812505
170,05:40:00,1411.125,26.7605119532
171,05:42:00,1414.5,27.7025011764
172,05:44:00,1415.625,29.3108341744
173,05:46:00,1414.5,26.6458251889
174,05:48:00,1421.125,28.45265491
175,05:50:00,1425.0,23.4581694573
176,05:52:00,1417.875,30.1303714832
177,05:54:00,1414.5,29.2672415607
178,05:56:00,1417.25,23.4261758357
179,05:58:00,1417.75,23.686946375
180,06:00:00,1413.125,26.2919732455
181,06:02:00,1413.625,27.6091987776
182,06:04:00,1409.75,28.358672143
183,06:06:00,1411.0,28.0611576994
184,06:08:00,1410.5,28.2691148985
185,06:10:00,1413.875,26.2103441957
186,06:12:00,1416.875,29.3619651931
187,06:14:00,1415.5,31.2043952948
188,06:16:00,1410.875,30.4416889901
189,06:18:00,1413.125,28.5928937225
190,06:20:00,1412.75,31.8467311622
191,06:22:00,1408.875,28.9947655374
192,06:24:00,1406.75,29.3829396565
193,06:26:00,1409.625,30.0235026985
194,06:28:00,1402.5,27.8465181204
195,06:30:00,1397.75,31.2627117003
196,06:32:00,1403.0,30.2702116657
197,06:34:00,1399.0,31.1218802223
198,06:36:00,1400.375,28.4752398711
199,06:38:00,1406.375,21.3871623711
200,06:40:00,1398.5,23.0960726408
201,06:42:00,1393.75,22.3782419838
202,06:44:00,1399.875,22.1967661737
203,06:46:00,1406.25,18.2502446168
204,06:48:00,1399.875,22.3443025656
205,06:50:00,1405.0,21.7321355206
206,06:52:00,1400.375,27.2288581157
207,06:54:00,1397.125,26.8191695834
208,06:56:00,1402.125,26.3462521054
209,06:58:00,1405.375,23.5550267611
210,07:00:00,1406.0,26.7474965451
211,07:02:00,1405.375,26.0983715967
212,07:04:00,1402.625,29.2180839305
213,07:06:00,1397.5,34.9244081656
214,07:08:00,1398.5,39.5943718944
215,07:10:00,1393.375,36.8740617314
216,07:12:00,1401.71428571,36.3442534922
217,07:14:00,1403.85714286,33.2587260301
218,07:16:00,1403.5,29.3403671221
