,time,mean,std
129,04:18:00,1396.11764706,14.8739804396
130,04:20:00,1396.11764706,14.8739804396
131,04:22:00,1392.88235294,14.4563236723
132,04:24:00,1394.94117647,16.2998105366
133,04:26:00,1397.88235294,18.275264543
134,04:28:00,1398.05882353,13.9125419507
135,04:30:00,1394.17647059,10.9842802115
136,04:32:00,1394.76470588,12.4324646177
137,04:34:00,1396.52941176,16.1520805435
138,04:36:00,1395.05882353,13.4511643931
139,04:38:00,1395.05882353,13.4511643931
140,04:40:00,1393.47058824,11.9588756111
141,04:42:00,1398.29411765,16.4307817293
142,04:44:00,1399.94117647,14.6136519573
143,04:46:00,1398.58823529,12.6246723895
144,04:48:00,1398.58823529,12.6246723895
145,04:50:00,1397.0,12.5847129487
146,04:52:00,1395.41176471,10.1677112932
147,04:54:00,1397.0,12.5847129487
148,04:56:00,1395.35294118,14.3000925542
149,04:58:00,1395.35294118,14.3000925542
150,05:00:00,1401.11764706,20.3312639577
151,05:02:00,1400.41176471,20.4940809245
152,05:04:00,1393.41176471,13.8882091337
153,05:06:00,1394.70588235,18.8638699167
154,05:08:00,1393.88235294,17.8566596573
155,05:10:00,1390.94117647,13.4465171524
156,05:12:00,1393.88235294,16.8370215334
157,05:14:00,1392.41176471,16.1634573326
158,05:16:00,1390.76470588,14.3332193338
159,05:18:00,1393.17647059,11.6631647405
160,05:20:00,1394.70588235,11.4769590151
161,05:22:00,1390.0,14.6926852549
162,05:24:00,1389.29411765,16.4915308033
163,05:26:00,1389.29411765,18.0511935405
164,05:28:00,1390.23529412,17.3872417729
165,05:30:00,1394.76470588,18.1367355517
166,05:32:00,1392.82352941,19.5039588742
167,05:34:00,1393.29411765,19.6079215685
168,05:36:00,1387.73333333,19.3260248912
169,05:38:00,1390.35294118,19.4580997803
170,05:40:00,1389.41176471,20.7637268558
171,05:42:00,1390.35294118,20.2544475871
172,05:44:00,1388.35294118,19.6052964032
173,05:46:00,1388.47058824,17.1505016219
174,05:48:00,1386.29411765,16.2625517135
175,05:50:00,1384.76470588,16.3612706252
176,05:52:00,1383.94117647,18.0640201375
177,05:54:00,1381.41176471,16.937601747
178,05:56:00,1383.11764706,14.8655741267
179,05:58:00,1385.29411765,14.9572921425
180,06:00:00,1384.88235294,17.9926455564
181,06:02:00,1384.82352941,17.6678921144
182,06:04:00,1384.375,21.2128105949
183,06:06:00,1380.52941176,17.4396016549
184,06:08:00,1378.29411765,19.7603286469
185,06:10:00,1380.5625,19.4763745771
186,06:12:00,1379.88235294,16.9848548454
187,06:14:00,1378.70588235,18.1857248477
188,06:16:00,1370.70588235,23.876674564
189,06:18:00,1365.05882353,17.8026352973
190,06:20:00,1355.88235294,15.9212215021
191,06:22:00,1354.94117647,19.9169230437
192,06:24:00,1355.29411765,20.3278279271
193,06:26:00,1351.94117647,21.0756689936
194,06:28:00,1353.47058824,18.9872248073
195,06:30:00,1351.17647059,21.2080034837
196,06:32:00,1346.35294118,25.6927547581
197,06:34:00,1342.17647059,20.4121143384
198,06:36:00,1339.82352941,20.688871689
199,06:38:00,1333.47058824,20.6310374408
200,06:40:00,1337.17647059,21.9836168945
201,06:42:00,1331.88235294,20.9579410753
202,06:44:00,1322.41176471,24.4924958496
203,06:46:00,1320.70588235,23.2453347628
204,06:48:00,1317.58823529,21.9119226208
205,06:50:00,1319.41176471,24.3080717652
206,06:52:00,1313.94117647,22.9468695802
207,06:54:00,1311.17647059,29.0973265398
208,06:56:00,1305.17647059,28.1119087179
209,06:58:00,1303.47058824,23.8461675303
210,07:00:00,1303.11764706,23.6798499598
211,07:02:00,1302.0,22.0605228104
212,07:04:00,1303.58823529,17.9166780666
213,07:06:00,1305.58823529,18.8979457334
214,07:08:00,1298.05882353,24.9761651085
215,07:10:00,1293.64705882,28.3216815719
216,07:12:00,1285.58823529,26.4103644985
217,07:14:00,1282.5,26.9493351804
218,07:16:00,1279.64705882,30.2509115079
219,07:18:00,1280.52941176,29.4917735289
220,07:20:00,1281.05882353,27.1626365349
221,07:22:00,1276.64705882,28.1423639209
222,07:24:00,1265.23529412,31.3080049903
223,07:26:00,1265.23529412,29.5434624997
224,07:28:00,1261.29411765,33.5778288196
225,07:30:00,1255.41176471,24.7539361101
226,07:32:00,1253.58823529,30.6778805158
227,07:34:00,1247.88235294,31.1486001952
228,07:36:00,1238.94117647,32.0028721138
229,07:38:00,1230.05882353,36.0597951121
230,07:40:00,1216.76470588,33.4655222053
231,07:42:00,1205.52941176,34.9215507371
232,07:44:00,1190.11764706,42.9401943884
233,07:46:00,1178.82352941,42.5826186579
234,07:48:00,1164.11764706,42.7183835616
235,07:50:00,1161.52941176,42.1590999178
236,07:52:00,1155.17647059,40.9271231797
237,07:54:00,1149.17647059,40.8522265215
238,07:56:00,1140.82352941,45.1265377773
239,07:58:00,1140.76470588,49.799007786
240,08:00:00,1133.58823529,48.1677522098
241,08:02:00,1127.5625,52.3487901802
242,08:04:00,1126.88235294,49.8558952795
243,08:06:00,1120.0,44.9332838773
244,08:08:00,1116.58823529,46.9641603027
245,08:10:00,1104.70588235,43.1722780061
246,08:12:00,1094.23529412,48.6486503047
247,08:14:00,1083.17647059,59.2781950785
248,08:16:00,1071.82352941,62.5222313403
249,08:18:00,1053.76470588,65.5720304434
250,08:20:00,1033.88235294,71.8182448555
251,08:22:00,1023.41176471,70.5363902744
252,08:24:00,1009.82352941,69.4840227086
253,08:26:00,999.625,68.7545150033
254,08:28:00,998.8125,62.136643778
255,08:30:00,982.352941176,68.9627990083
256,08:32:00,962.823529412,70.6498719869
257,08:34:00,942.705882353,70.0881272987
258,08:36:00,928.941176471,67.7158314099
259,08:38:00,924.375,70.2707857743
260,08:40:00,907.117647059,65.6495262292
261,08:42:00,893.470588235,64.4467974835
262,08:44:00,882.352941176,64.6151502905
263,08:46:00,874.941176471,70.0718119041
264,08:48:00,864.823529412,74.3650079793
265,08:50:00,865.176470588,66.2827610451
266,08:52:00,870.352941176,62.848966953
267,08:54:00,886.588235294,61.0215728488
268,08:56:00,905.647058824,57.5455701775
269,08:58:00,925.529411765,61.3179395111
270,09:00:00,950.529411765,54.4289877352
271,09:02:00,977.470588235,49.3192630306
272,09:04:00,1014.0,54.8896620503
273,09:06:00,1041.23529412,47.999387251
274,09:08:00,1065.35294118,57.8802008208
275,09:10:00,1080.58823529,63.4252107047
276,09:12:00,1095.82352941,61.7092327919
277,09:14:00,1106.0,60.7926804805
278,09:16:00,1118.23529412,67.4967864159
279,09:18:00,1122.47058824,66.9403817279
280,09:20:00,1134.76470588,63.1966468768
281,09:22:00,1150.35294118,60.2639415161
282,09:24:00,1160.05882353,57.2696151858
283,09:26:00,1164.23529412,59.9359339334
284,09:28:00,1170.94117647,63.2341586765
285,09:30:00,1177.05882353,61.7246613885
286,09:32:00,1196.0625,37.0431617621
287,09:34:00,1197.23529412,62.0579662612
288,09:36:00,1201.88235294,59.7190111616
289,09:38:00,1201.35294118,59.5902059659
290,09:40:00,1204.35294118,60.6969327648
291,09:42:00,1204.47058824,60.7814914746
292,09:44:00,1215.47058824,33.5784857592
293,09:46:00,1216.94117647,24.4705705599
294,09:48:00,1213.25,23.2651384407
295,09:50:00,1217.41176471,23.7698833178
296,09:52:00,1216.58823529,22.8802830608
297,09:54:00,1220.5,21.3978192035
298,09:56:00,1220.52941176,24.9652699942
299,09:58:00,1226.29411765,28.3323240881
300,10:00:00,1232.05882353,31.3796721387
301,10:02:00,1234.76470588,27.7568221609
302,10:04:00,1241.82352941,22.6584291548
303,10:06:00,1246.82352941,24.9505393081
304,10:08:00,1249.88235294,23.3556266051
305,10:10:00,1251.82352941,24.5795527169
306,10:12:00,1256.29411765,25.2481798995
307,10:14:00,1257.29411765,25.9826016449
308,10:16:00,1256.35294118,24.8343038368
309,10:18:00,1257.41176471,27.1938844769
310,10:20:00,1258.94117647,27.0935199546
311,10:22:00,1261.94117647,26.2737287709
312,10:24:00,1265.0,25.4066920318
313,10:26:00,1265.76470588,24.0274046969
314,10:28:00,1266.70588235,23.5418900736
315,10:30:00,1265.70588235,22.3628170908
316,10:32:00,1267.52941176,20.8270186508
317,10:34:00,1265.35294118,18.7714583093
318,10:36:00,1264.76470588,18.756763486
319,10:38:00,1263.9375,20.0514962035
320,10:40:00,1260.58823529,21.6305883633
321,10:42:00,1258.94117647,21.1171452505
322,10:44:00,1254.35294118,21.3305566514
323,10:46:00,1254.23529412,23.1558022204
324,10:48:00,1252.47058824,20.0658841291
325,10:50:00,1250.05882353,22.4735138225
326,10:52:00,1251.64705882,21.8229843756
327,10:54:00,1250.11764706,23.3743512021
328,10:56:00,1256.0,22.9128784748
329,10:58:00,1256.5625,21.3852558242
330,11:00:00,1258.11764706,23.2079791046
331,11:02:00,1258.58823529,25.340330561
332,11:04:00,1258.88235294,25.4113221639
333,11:06:00,1257.23529412,24.1803882614
334,11:08:00,1258.11764706,23.1270468093
335,11:10:00,1260.0,22.082232677
336,11:12:00,1263.75,20.0116632659
337,11:14:00,1260.88235294,17.0216125593
338,11:16:00,1257.8125,16.75
339,11:18:00,1260.5,18.0812978885
340,11:20:00,1263.23529412,19.2728092522
341,11:22:00,1261.82352941,19.9350046843
342,11:24:00,1258.41176471,17.0626010016
343,11:26:00,1257.1875,16.6702079571
344,11:28:00,1260.625,19.1446250072
345,11:30:00,1261.05882353,20.3699244851
346,11:32:00,1263.29411765,19.8644302268
347,11:34:00,1260.52941176,18.8981402758
348,11:36:00,1262.11764706,19.1796844113
349,11:38:00,1262.05882353,20.8580637531
350,11:40:00,1259.94117647,20.0264530941
351,11:42:00,1257.5,19.5993197161
352,11:44:00,1256.64705882,19.6435141219
353,11:46:00,1250.70588235,21.4177633808
354,11:48:00,1251.05882353,19.995220017
355,11:50:00,1246.58823529,21.3221094862
356,11:52:00,1246.70588235,21.4148450435
357,11:54:00,1245.82352941,22.2969596978
358,11:56:00,1246.76470588,21.6925373451
359,11:58:00,1247.35294118,17.0218285463
360,12:00:00,1248.76470588,17.7747342166
361,12:02:00,1250.41176471,18.9903226129
362,12:04:00,1250.58823529,19.4905708726
363,12:06:00,1248.41176471,17.6247653301
364,12:08:00,1243.875,18.9907872401
365,12:10:00,1243.58823529,18.2621836849
366,12:12:00,1241.35294118,19.8429495554
367,12:14:00,1235.11764706,22.7208119159
368,12:16:00,1229.47058824,25.0452531607
369,12:18:00,1224.17647059,28.1785274946
370,12:20:00,1221.35294118,27.7171904611
371,12:22:00,1213.47058824,27.9018763864
372,12:24:00,1207.05882353,29.0505391263
373,12:26:00,1201.23529412,27.0890416307
374,12:28:00,1203.0625,22.1884917619
375,12:30:00,1191.88235294,28.0577136295
376,12:32:00,1188.88235294,30.1866741149
377,12:34:00,1183.11764706,27.9035892694
378,12:36:00,1173.58823529,27.670062395
379,12:38:00,1169.17647059,33.5228192693
380,12:40:00,1158.41176471,34.4420869423
381,12:42:00,1150.5625,33.2965839089
382,12:44:00,1151.88235294,36.9135516324
383,12:46:00,1150.64705882,32.8651433446
384,12:48:00,1143.5,33.1923686008
385,12:50:00,1143.47058824,38.5488612787
386,12:52:00,1139.05882353,39.963218383
387,12:54:00,1141.0,39.3954312072
388,12:56:00,1138.70588235,37.7090252889
389,12:58:00,1138.29411765,37.3810859692
390,13:00:00,1137.0,35.5422284051
391,13:02:00,1129.05882353,33.6757898724
392,13:04:00,1134.88235294,33.4269396463
393,13:06:00,1133.8125,37.10025831
394,13:08:00,1130.82352941,37.1218185406
395,13:10:00,1126.35294118,37.4415230334
396,13:12:00,1118.0625,35.4070967463
397,13:14:00,1116.70588235,33.8263298073
398,13:16:00,1118.23529412,32.0537232856
399,13:18:00,1116.94117647,32.7098429151
400,13:20:00,1118.41176471,30.7104599923
401,13:22:00,1119.0,30.3706272573
402,13:24:00,1120.76470588,29.0399066195
403,13:26:00,1122.70588235,28.2284535219
404,13:28:00,1128.76470588,32.1549557062
405,13:30:00,1129.88235294,30.3312593559
406,13:32:00,1131.82352941,33.0893398508
407,13:34:00,1141.70588235,37.1967147506
408,13:36:00,1145.64705882,37.0792077458
409,13:38:00,1147.0,31.0302271987
410,13:40:00,1144.88235294,30.4505384865
411,13:42:00,1142.70588235,29.3423003228
